Wavelength,Reflectance_01,Reflectance_02,Reflectance_03,Reflectance_04,Reflectance_05,Reflectance_06,Reflectance_07,Reflectance_08,Reflectance_09,Reflectance_10,Reflectance_11,Reflectance_12,Reflectance_13,Reflectance_14,Reflectance_15,Reflectance_16,Reflectance_17,Reflectance_18,Reflectance_19,Reflectance_20,Reflectance_21,Reflectance_22,Reflectance_23,Reflectance_24
1200,0.14637062298384454,0.8637218724900615,0.437625,0.1795994603351164,0.9283687346740811,0.8820515537548199,0.6786867091486657,0.748109,0.5819773223973914,0.6260189409323895,0.684909732869555,0.754745902377614,0.5966146432921474,0.8897040255871145,0.7710890973442854,0.8158431154138183,0.843601934302418,0.5856511433648928,0.9019539514835806,0.5448219517413763,0.2705624231807749,0.14690608959071516,0.08840129840826769,0.03866256032144651
1204,0.14601984679843039,0.8662108020028867,0.437623,0.18111155182979236,0.9288996795147374,0.8834878901567212,0.6803262249773098,0.74904,0.5816425774080679,0.6270982984161853,0.6858613118938592,0.7561979182900272,0.5974618668823565,0.8913179515853499,0.7718884847560046,0.8175763504395627,0.8440882185673012,0.5869251602373585,0.9013716103258478,0.5447566427981301,0.2707862785878223,0.14763241082185943,0.08802207001628284,0.03785385113008539
1208,0.14562331719752747,0.8659395319075534,0.438185,0.18046336155969703,0.9305530417485413,0.8835962730500515,0.679350750009076,0.749078,0.5821762746080271,0.6269912026347192,0.6857618619408242,0.7563690524865011,0.5985378721818821,0.890788382117179,0.7711981047186107,0.8158272916004364,0.843325564503287,0.5837995581497484,0.8995478523679662,0.5444132441610608,0.26998516641352766,0.1478541963208051,0.08874787102205385,0.038569689201406326
1212,0.1469784897896243,0.8651510542374599,0.43865,0.1826067248182342,0.9288157902299137,0.8841823824829153,0.6814600562715555,0.750759,0.5816141556636913,0.6277912711197895,0.6872263933544674,0.7578546652963815,0.599677602067108,0.8905677281721077,0.7718563016264418,0.8185816900497478,0.8433266193498486,0.5852071837280797,0.9024416884821149,0.5447176681061928,0.2696151831713244,0.14670217306561822,0.08825171387587367,0.03870430015067804
1216,0.1460884769216636,0.8649241162199631,0.437495,0.1813737886764215,0.9290345395042641,0.8853440787376399,0.6810472741150843,0.750836,0.5828615544446611,0.628231203790714,0.6883842001761182,0.7557338611437607,0.599130197429291,0.8920597691340179,0.7712728526324338,0.8161195046875522,0.8447074134989421,0.5845401922358061,0.9019739234727447,0.5450673869635763,0.268654470382746,0.1449993649694479,0.0866747558125367,0.038628124962330486
1220,0.14664950094491908,0.8683545746239841,0.439148,0.18197756786765223,0.933459433806294,0.887331799956095,0.6828504248139406,0.753424,0.5842405353755225,0.6303311210743634,0.6896990332394035,0.7591596947823754,0.6011223742314225,0.8944386288085003,0.7751244465252625,0.8204256917691644,0.8479806023794899,0.5879372198833636,0.9048582991709736,0.5435652812689112,0.26891770775955176,0.14591909156460164,0.08732049749111088,0.03902360984429934
1224,0.14616691134821583,0.8700961919675639,0.439281,0.1836419259184354,0.9365357282130565,0.8900476858559538,0.6837066046832454,0.75422,0.583778418865104,0.6328762208221463,0.6915634581484089,0.7591491957519167,0.6025765483837912,0.8971032878785036,0.7759643223903024,0.8226821675573975,0.8490386134807433,0.5895005469456956,0.9073842302215729,0.5453897181995984,0.2680709954097475,0.14582554223092314,0.08844659513286587,0.03855194977398292
1228,0.14625515007808707,0.8711654394639557,0.438828,0.18340823905107642,0.939254165797217,0.8916744815170082,0.6858011310219638,0.757252,0.5845131735900972,0.6354612189983186,0.6922418115122696,0.7623209528534353,0.6032649828424197,0.8990954777825753,0.7796778402756522,0.8250167074916473,0.8527495636843422,0.5899024251003463,0.9101803087045499,0.5465526387374035,0.2678284853854461,0.14640365609073402,0.08787248548388885,0.03849455750878955
1232,0.14589565895638937,0.8745114558149546,0.442125,0.18381957023389386,0.940381892638771,0.895739366147444,0.6866193053730258,0.757285,0.5865542758992116,0.6356869601063109,0.6957194193436655,0.7643924115629009,0.6055329512941384,0.9033635555200962,0.7804969528312969,0.8267488875964996,0.8529468199913555,0.5894290084260196,0.9112756146366033,0.5458079061103851,0.26739528371810445,0.14591593821627538,0.08748693661870424,0.038312989251632346
1236,0.14566689187894538,0.8755954806706253,0.440071,0.18162862367657318,0.9411783098997556,0.89644122430134,0.6878544847159193,0.759195,0.5874469292040745,0.6369679096493369,0.6948474002817894,0.7656711934727485,0.6062172070914096,0.9032973593365747,0.7816659271502524,0.8281118453891116,0.8546293002570576,0.5901359773263475,0.9131813628657904,0.5460101531604381,0.26676620856959626,0.14473763705836984,0.08755435499950154,0.03853942782521346
